ORF Length,GC Content,Transcript Length,CpG Island,Ficket score,coding=1
225,56,378,3,0,0
144,35,2726,12,0,0
117,41,515,6,1,0
417,49,2408,37,0,0
159,45,1212,22,0,0
276,48,626,12,1,0
183,45,1211,25,1,0
168,41,619,6,0,0
114,38,400,2,0,0
117,40,509,5,1,0
93,38,580,1,1,0
225,38,1100,17,1,0
216,38,690,3,1,0
366,50,8389,211,1,0
237,45,2748,30,1,0
111,48,1918,42,0,0
258,44,933,8,1,0
72,38,441,2,1,0
135,38,737,7,0,0
183,37,753,6,1,0
1020,48,3247,101,0,1
288,39,984,11,0,0
261,45,5249,59,0,0
216,50,1765,30,0,0
162,44,985,12,1,0
123,42,352,4,1,0
234,50,490,10,2,0
270,54,2626,129,1,0
1041,54,1542,80,1,1
183,44,1369,16,1,0
318,55,576,17,0,0
183,43,670,7,1,0
438,44,3991,57,2,0
186,48,1809,18,0,0
174,43,709,6,1,0
228,50,2257,50,1,0
117,48,606,18,1,0
144,48,669,20,1,0
141,48,1932,70,1,0
300,50,567,17,0,0
210,57,1316,68,1,0
789,54,1953,36,1,0
417,62,1832,92,1,0
354,54,932,19,1,0
345,54,738,17,0,0
120,47,391,9,1,0
258,45,771,21,1,0
135,50,746,20,1,0
306,58,1133,37,1,0
390,50,748,8,1,0
198,45,2574,42,1,0
318,50,2260,74,1,0
360,41,2446,36,0,0
483,44,3404,36,1,0
84,51,839,20,1,0
300,59,2677,108,1,0
243,42,1840,17,0,0
198,37,1709,15,0,0
198,49,1289,11,1,0
519,70,1381,123,1,1
315,36,2079,16,0,0
153,40,1189,10,1,0
147,52,424,8,2,0
213,44,907,12,1,0
66,38,373,1,1,0
276,41,1268,9,1,0
204,45,391,4,1,0
309,42,507,7,0,0
156,38,436,4,1,0
378,50,1521,20,0,0
132,39,866,4,0,0
108,38,1672,8,0,0
414,44,2135,18,0,0
282,38,2786,41,0,0
225,58,935,54,1,0
1170,69,1248,118,1,1
216,41,2628,28,1,0
294,44,714,9,1,0
111,56,490,23,1,0
168,41,2580,31,0,0
159,50,1089,35,0,0
48,46,752,17,1,0
303,51,1803,36,0,0
105,50,414,7,1,0
372,50,375,11,0,0
150,36,793,4,1,0
132,52,425,8,2,0
807,54,3315,51,0,0
222,52,803,10,0,0
141,42,1064,6,1,0
171,36,1150,10,0,0
114,51,481,6,1,0
204,54,748,28,1,0
219,47,3131,41,1,0
249,55,1072,26,0,0
477,50,1901,19,1,0
258,41,1472,24,0,0
264,46,1161,22,1,0
417,61,1658,74,1,0
222,47,1363,33,1,0
195,52,1070,17,0,0
126,41,1631,10,0,0
321,37,1100,10,1,0
489,55,4196,134,1,0
276,44,1079,14,1,0
192,54,349,10,1,0
204,48,383,5,1,0
831,69,1075,63,1,1
156,45,1531,19,1,0
204,39,711,3,1,0
960,54,1843,36,1,0
267,39,1030,3,1,0
324,55,1467,20,1,0
465,43,987,15,0,0
267,43,1993,20,0,0
54,36,598,5,0,0
306,55,938,22,0,0
324,51,1031,18,1,0
150,55,475,10,1,0
378,54,2784,78,0,0
195,50,699,4,1,0
225,48,546,4,1,0
675,49,1375,17,1,0
480,66,785,63,1,1
225,47,2796,42,1,0
156,50,798,18,1,0
261,40,627,3,1,0
243,44,1564,15,0,0
282,41,3543,66,1,0
186,47,1029,22,0,0
1926,64,2567,199,1,1
228,52,823,32,0,0
186,50,508,9,1,0
597,67,875,70,1,1
216,47,874,5,1,0
255,67,514,31,0,0
114,44,537,3,1,0
849,40,2407,31,1,0
207,40,1526,23,1,0
159,46,438,5,0,0
0,37,130,1,3,0
150,37,3177,34,1,0
1776,60,2385,176,1,1
363,52,2819,68,0,0
183,60,766,34,1,0
180,46,400,8,1,0
132,51,561,7,1,0
150,45,657,4,1,0
258,41,1087,16,0,0
168,40,380,4,1,0
225,48,785,17,1,0
90,46,483,4,2,0
747,60,800,40,1,1
138,55,684,23,0,0
177,52,560,26,1,0
201,46,314,10,1,0
39,50,633,11,1,0
177,44,694,8,0,0
180,53,829,15,1,0
420,60,485,29,1,1
231,43,746,8,1,0
327,54,600,15,1,0
75,56,395,8,1,0
318,41,1695,17,0,0
129,46,577,9,0,0
177,54,661,15,1,0
144,42,454,4,0,0
162,54,1152,52,1,0
840,44,1949,23,1,0
39,36,320,3,0,0
180,36,2316,12,0,0
141,36,837,4,0,0
471,52,909,46,1,0
414,33,1211,1,3,0
96,52,982,43,1,0
249,55,1210,28,0,0
180,46,620,6,1,0
120,39,1133,8,1,0
342,37,3542,17,0,0
129,58,675,16,0,0
174,54,1260,62,1,0
171,43,1370,7,0,0
432,64,1196,79,1,0
255,53,2148,34,1,0
150,44,784,3,0,0
222,50,1066,27,0,0
150,46,568,5,1,0
327,58,659,38,1,1
72,39,510,5,1,0
207,54,820,40,0,0
300,50,494,9,1,0
195,46,612,4,1,0
276,57,531,37,0,0
225,66,666,57,1,0
336,32,1795,11,0,0
420,36,2417,15,1,0
1695,56,2350,125,2,1
216,45,1861,9,1,0
2340,55,2984,146,2,1
129,38,787,5,1,0
186,58,1469,100,1,0
207,47,1755,34,0,0
189,60,930,71,1,0
282,40,2292,41,0,0
207,47,1780,45,0,0
267,65,1310,76,1,0
171,48,377,9,0,0
132,48,646,9,1,0
228,54,728,17,1,0
168,43,594,1,0,0
231,46,1243,25,0,0
216,53,673,23,1,0
351,37,2393,16,0,0
2316,57,2457,135,2,1
252,47,1301,16,0,0
291,58,665,17,1,0
114,43,592,11,1,0
357,55,1283,46,1,0
336,71,569,47,1,1
111,47,1098,21,0,0
1215,54,5948,228,0,1
114,47,1032,10,0,0
135,44,292,2,0,0
279,42,2949,32,1,0
321,48,1859,69,1,0
186,44,1529,16,1,0
147,34,1351,10,0,0
204,42,2331,38,0,0
150,49,438,5,0,0
405,59,1154,49,0,0
366,41,1005,9,1,0
192,42,1547,31,1,0
474,52,7100,143,0,0
120,42,815,8,1,0
117,36,1014,5,1,0
117,49,591,18,1,0
87,52,391,2,1,0
120,48,439,17,1,0
363,59,688,26,1,0
84,46,714,10,1,0
165,50,508,18,0,0
366,39,885,3,1,0
204,46,1528,23,1,0
150,51,488,7,1,0
93,39,611,2,1,0
258,47,1146,36,1,0
249,47,1501,59,1,0
189,47,1681,21,1,0
789,55,1958,46,1,0
249,55,672,15,0,0
90,42,476,4,2,0
165,33,1094,10,1,0
51,33,406,5,0,0
396,47,497,5,1,0
399,52,1289,19,1,0
120,46,754,7,1,0
117,37,712,5,0,0
360,52,444,7,1,0
243,43,930,6,1,0
117,32,894,4,0,0
348,61,2095,99,0,0
330,48,689,25,1,0
150,40,791,1,1,0
186,42,1371,31,1,0
174,36,716,5,1,0
255,42,772,8,1,0
222,49,2445,47,1,0
123,51,1296,35,1,0
138,56,554,18,1,0
396,42,2219,13,0,0
225,53,543,29,1,0
1140,65,2429,139,1,1
1020,49,3141,82,0,1
276,48,1736,34,0,0
339,54,1254,38,0,0
177,60,630,22,1,0
216,38,466,4,0,0
87,74,543,60,1,0
201,39,1732,14,0,0
180,46,728,19,1,0
288,47,1203,26,1,0
108,65,255,16,3,0
1023,55,2070,51,1,0
75,47,657,12,1,0
840,67,923,51,1,1
228,49,1212,40,1,0
156,40,869,10,0,0
195,53,745,12,0,0
195,46,563,3,1,0
126,43,631,7,1,0
405,44,1804,15,1,0
477,52,1974,28,0,0
150,44,427,3,1,0
372,41,1161,13,1,0
171,38,2389,27,1,0
105,45,628,2,1,0
219,57,269,11,1,1
231,43,1665,12,1,0
417,61,1635,72,1,0
411,64,1830,81,1,0
69,36,393,1,0,0
81,68,430,44,1,0
231,45,845,10,0,0
297,47,2824,50,0,0
138,39,547,3,1,0
258,42,1024,11,1,0
114,46,767,7,1,0
267,41,1808,25,0,0
234,52,605,20,0,0
150,43,1536,19,1,0
276,56,2481,100,0,0
357,51,3242,55,0,0
369,47,896,19,1,0
264,39,766,2,1,0
909,68,1153,65,1,1
417,62,2035,116,1,0
195,40,2909,28,0,0
150,44,1631,53,0,0
219,51,606,7,0,0
177,51,1039,45,0,0
105,52,536,25,0,0
321,47,1901,6,2,0
180,41,1373,12,1,0
225,41,2467,37,0,0
1212,62,2114,99,1,1
342,50,1115,31,1,0
2028,65,3035,128,1,1
357,55,1382,44,1,0
225,40,1154,20,1,0
177,47,717,4,1,0
789,54,2000,40,1,0
135,33,715,3,0,0
2349,57,2490,139,2,1
342,51,914,34,1,0
144,47,861,20,0,0
186,44,892,2,0,0
309,64,829,33,1,0
120,59,584,30,1,0
15,40,188,0,1,0
135,44,758,4,1,0
264,45,2357,49,1,0
249,51,1672,30,1,0
273,47,1601,57,1,0
39,59,220,12,1,0
312,68,424,22,1,0
165,39,642,6,0,0
315,46,874,17,1,0
111,52,373,5,0,0
135,52,821,37,1,0
1020,48,3019,83,0,1
171,47,568,3,0,0
189,40,3414,28,0,0
276,48,1530,33,0,0
195,46,613,4,1,0
225,45,623,14,1,0
231,39,3673,36,0,0
369,43,2884,26,0,0
159,52,348,6,0,0
255,49,2471,44,1,0
117,44,1127,22,0,0
105,42,406,4,1,0
441,48,1901,30,1,0
66,35,280,1,0,0
1713,61,2004,107,1,1
75,36,649,4,0,0
162,50,683,4,1,0
48,50,738,29,1,0
102,46,432,1,0,0
903,62,988,44,0,0
147,42,299,3,1,0
51,39,802,14,0,0
219,38,1306,20,1,0
459,55,4994,212,0,0
183,53,1674,24,1,0
1020,49,3008,100,0,1
2457,68,2562,228,1,1
246,52,708,20,0,0
174,47,667,3,1,0
237,46,1278,32,1,0
4752,59,5247,248,1,1
246,34,3209,23,0,0
402,56,819,43,0,0
153,38,812,9,1,0
246,49,1245,47,1,0
450,59,1433,59,0,0
312,52,1028,14,1,0
246,56,538,17,0,0
189,43,610,9,1,0
141,43,791,3,0,0
105,41,452,1,1,0
138,42,1666,45,0,0
267,44,2236,38,0,0
78,57,447,16,1,0
147,36,1005,6,0,0
366,42,4256,37,1,0
63,61,747,43,0,0
147,46,601,10,1,0
318,42,1509,16,0,0
129,42,407,2,1,0
234,51,439,2,1,0
249,47,694,9,1,0
126,38,662,3,1,0
417,61,1878,86,1,0
525,49,1095,40,1,0
249,42,652,8,1,0
132,51,764,27,1,0
141,40,677,5,0,0
300,48,1690,36,0,0
426,45,1082,19,1,0
165,50,868,22,0,0
540,50,1836,31,1,0
282,56,610,18,1,0
276,48,1339,19,1,0
195,53,710,12,0,0
273,50,3097,98,1,0
147,57,712,37,1,0
177,42,573,6,0,0
87,42,574,6,0,0
111,47,584,4,1,0
2310,56,2419,125,3,1
81,52,1174,21,0,0
369,50,1029,25,1,0
207,45,616,5,1,0
1020,49,3484,105,0,1
168,48,827,7,1,0
1014,45,3139,69,2,0
114,54,336,9,2,0
1032,61,1056,58,1,1
195,41,526,6,0,0
117,42,688,13,0,0
81,44,961,35,1,0
87,47,1346,46,1,0
198,51,428,5,1,0
141,47,1082,29,0,0
171,39,2493,16,0,0
348,62,2400,124,1,0
66,29,575,2,1,0
1713,60,2263,109,1,1
87,43,677,7,1,0
351,47,4746,64,1,0
369,59,3043,82,1,0
234,31,1531,8,0,0
129,51,331,12,0,0
183,39,1976,11,0,0
108,42,1142,10,1,0
189,50,304,3,0,0
60,48,456,18,0,0
387,54,615,28,1,0
321,38,1223,6,1,0
150,54,684,19,1,0
327,39,2668,45,0,0
105,41,719,2,1,0
237,44,590,8,1,0
141,46,1360,28,1,0
270,39,703,3,2,0
147,44,970,5,1,0
177,48,675,14,1,0
66,40,629,1,1,0
207,36,243,3,0,0
282,42,2116,39,0,0
738,58,2156,114,0,1
126,43,489,5,1,0
324,53,481,28,1,0
315,48,668,7,1,0
270,47,432,2,2,0
108,42,517,3,1,0
132,40,746,4,0,0
135,53,373,7,1,0
237,56,3060,99,0,0
162,49,760,5,1,0
168,46,583,7,1,0
267,58,726,23,1,0
198,43,460,3,1,0
402,56,817,43,0,0
117,40,686,5,1,0
36,29,118,0,1,0
195,52,536,6,0,0
183,49,831,10,1,0
201,50,552,6,1,0
147,42,557,1,1,0
318,56,1228,23,1,0
807,54,2449,43,0,0
477,51,1771,29,0,0
141,53,610,14,0,0
1020,54,1789,87,1,1
162,32,1086,10,0,0
303,46,2502,21,1,0
156,49,441,8,0,0
270,48,1122,28,1,0
189,44,1483,9,1,0
1020,48,3265,100,0,1
363,47,1234,49,0,0
147,46,743,24,0,0
126,42,299,3,1,0
288,42,808,5,2,0
477,54,1170,17,0,0
279,46,1869,52,1,0
318,59,932,55,1,0
237,54,1288,79,1,0
309,38,1336,17,0,0
96,45,279,2,0,0
63,50,426,5,1,0
348,60,1577,56,1,0
45,48,469,5,0,0
276,45,1016,13,0,0
225,45,8803,168,1,0
135,42,1126,9,1,0
213,37,1903,10,0,0
87,40,871,8,1,0
195,41,1514,15,0,0
627,65,935,39,0,1
171,58,902,34,1,0
1446,46,3827,52,1,0
312,51,686,34,0,0
672,59,2455,151,0,1
180,47,2292,20,0,0
132,48,1128,31,0,0
153,62,715,47,0,0
219,44,497,3,0,0
165,46,1660,30,1,0
261,54,658,16,0,0
270,56,830,50,1,0
195,45,566,4,1,0
390,48,1301,29,0,0
219,39,1119,19,1,0
174,44,712,8,1,0
189,48,886,9,0,0
372,47,5486,152,1,0
174,42,933,17,1,0
150,46,2190,52,1,0
213,49,723,12,1,0
411,53,1278,25,0,0
105,36,459,3,1,0
180,44,914,9,1,0
195,53,865,13,0,0
597,52,860,18,1,0
219,40,1378,6,0,0
351,43,5603,41,0,0
252,50,1104,43,1,0
240,45,769,9,0,0
315,56,762,57,1,0
195,43,924,6,1,0
270,43,856,31,0,0
303,51,1509,27,0,0
330,51,1514,54,1,0
189,55,446,13,0,0
24,39,587,10,0,0
147,47,706,11,0,0
282,55,676,20,1,0
300,60,1544,71,1,1
267,40,2837,25,0,0
1857,69,1860,131,1,1
255,46,1517,13,0,0
2067,50,3995,138,1,0
321,38,2460,18,0,0
159,39,670,4,1,0
84,45,670,23,0,0
1020,48,3214,90,0,1
2277,64,2280,158,1,1
138,51,406,13,0,0
93,34,1136,11,0,0
324,54,642,32,1,0
66,48,770,16,0,0
312,43,612,11,1,0
345,46,1152,14,2,0
471,66,664,51,1,0
1728,65,2194,117,1,1
210,42,934,14,1,0
405,59,1485,60,0,0
357,47,2781,54,0,0
180,45,760,7,1,0
258,43,2029,22,1,0
159,52,1351,29,1,0
276,43,2012,11,1,0
201,39,1613,13,1,0
93,39,621,2,1,0
345,54,1332,32,1,0
231,49,2933,87,1,0
162,51,940,14,1,0
255,38,902,13,1,0
408,56,966,48,1,1
252,54,939,33,0,0
180,53,812,23,1,0
48,38,620,6,1,0
57,49,273,2,1,0
249,52,769,21,1,0
282,49,1239,24,0,0
249,55,1096,26,0,0
177,45,2871,49,1,0
477,49,2134,22,1,0
216,56,853,45,1,0
246,58,1673,52,1,0
243,39,3662,62,0,0
843,46,1131,14,1,0
144,53,1227,52,0,0
84,29,565,0,0,0
138,41,466,8,1,0
255,46,539,3,0,0
90,57,623,34,1,0
243,39,3695,58,0,0
417,60,1361,63,1,0
483,65,987,39,1,0
111,37,469,0,1,0
123,38,2597,14,1,0
189,43,444,5,1,0
153,55,988,26,1,0
129,50,946,14,0,0
729,55,3402,75,0,0
135,53,532,9,1,0
255,60,932,37,1,0
240,56,1710,61,0,0
189,42,858,1,1,0
195,49,715,16,1,0
174,48,3496,43,1,0
135,43,1291,4,1,0
135,40,789,4,1,0
1089,52,5079,209,1,0
444,62,1379,94,1,0
168,42,2680,33,0,0
201,49,449,6,1,0
399,59,1224,56,1,0
186,49,686,10,0,0
330,55,1315,45,1,0
99,44,382,7,1,0
165,48,754,13,1,0
150,47,748,14,1,0
366,35,4608,22,0,0
477,50,2254,35,0,0
165,40,833,7,1,0
105,47,630,2,1,0
57,45,311,7,1,0
273,41,2296,21,1,0
231,45,1005,8,0,0
360,56,1730,33,1,0
153,60,756,51,1,0
192,36,357,4,1,0
168,47,800,5,1,0
165,48,661,17,0,0
96,59,184,3,1,0
237,50,489,13,0,0
450,59,1314,57,0,0
327,58,798,28,1,0
204,48,887,11,0,0
528,54,1288,56,0,0
156,45,2150,46,0,0
216,46,573,20,2,0
225,50,1101,10,1,0
363,52,1185,41,1,0
252,54,3461,78,1,0
87,66,268,15,1,0
174,48,1743,24,1,0
78,33,359,3,0,0
789,54,1928,35,1,0
348,51,1395,44,1,0
258,51,1378,46,1,0
690,54,1755,30,1,0
108,46,686,13,0,0
165,39,1096,6,1,0
258,63,887,68,1,0
135,51,800,27,1,0
216,43,1855,36,0,0
192,43,541,6,1,0
270,49,636,13,1,0
87,38,355,2,1,0
276,67,709,55,1,0
138,51,850,9,1,0
195,49,571,3,0,0
141,60,523,24,1,0
195,46,518,3,1,0
318,47,1288,27,0,0
312,45,2405,25,1,0
90,39,442,1,1,0
789,54,2002,37,1,0
129,40,790,4,1,0
153,39,301,1,1,0
2562,68,3034,266,1,1
156,47,462,3,0,0
294,44,386,3,0,0
66,53,593,4,1,0
180,45,906,19,0,0
417,61,1829,86,1,0
663,67,2154,135,1,1
267,61,748,42,0,0
567,63,1413,95,1,1
72,40,349,4,0,0
237,61,814,54,0,1
165,45,2366,38,1,0
342,46,756,7,1,0
147,51,1954,64,1,0
303,51,2077,40,0,0
1914,65,3475,165,1,1
411,51,514,15,1,0
432,55,5586,118,0,0
216,48,1406,35,1,0
483,57,3126,121,1,0
123,39,410,1,1,0
477,50,2027,33,1,0
165,40,535,6,1,0
96,40,555,2,1,0
174,54,491,27,1,0
315,43,1405,9,1,0
141,33,2336,9,0,0
171,44,1576,13,1,0
477,48,1679,12,0,0
168,49,2065,48,0,0
570,47,2669,22,0,0
195,53,952,17,0,0
240,45,631,4,1,0
219,48,723,9,1,0
153,34,755,5,1,0
432,54,6473,159,0,0
258,49,1040,14,1,0
168,47,805,6,1,0
225,48,639,11,0,0
177,51,448,10,1,0
318,60,1175,55,2,0
42,42,655,7,1,0
324,54,989,49,0,0
195,43,1256,26,1,0
273,49,1120,49,0,0
804,44,3498,46,1,0
132,38,442,3,1,0
90,53,416,13,1,0
342,52,494,9,0,0
171,41,2208,24,0,0
4917,59,5355,250,1,1
219,43,2708,35,0,0
183,49,624,30,0,0
72,44,432,1,1,0
132,32,1075,2,1,0
1158,70,1309,126,1,1
258,40,802,5,1,0
372,63,911,47,1,0
231,42,2002,18,1,0
144,37,2565,39,0,0
159,45,1159,20,0,0
2757,68,3012,260,1,1
477,49,2104,16,1,0
225,41,1513,22,0,0
327,58,494,14,0,0
147,31,396,1,0,0
147,31,1254,6,0,0
144,44,547,3,0,0
207,48,506,4,0,0
258,57,556,23,0,0
195,43,731,4,1,0
159,49,852,6,1,0
0,62,351,24,1,0
117,54,588,18,0,1
123,42,287,4,2,0
66,51,419,6,0,0
1944,62,4098,224,1,1
219,46,566,4,1,0
144,40,960,5,1,0
804,64,1055,84,1,0
291,58,491,6,2,0
231,46,2083,42,0,0
225,50,714,10,1,0
135,54,723,35,0,0
174,49,898,18,0,0
282,53,872,20,1,0
195,52,934,15,0,0
282,49,1018,13,1,0
372,53,2424,52,1,0
441,49,1220,23,1,0
60,56,394,8,1,0
285,50,1828,30,1,0
393,41,3774,31,0,0
249,56,925,23,0,0
198,51,619,9,0,0
207,46,555,6,1,0
282,63,455,14,1,0
225,52,1194,43,1,0
165,44,1342,13,1,0
357,44,4817,83,0,0
141,47,1651,29,1,0
69,46,1536,54,0,0
285,53,770,24,0,0
495,64,637,37,1,1
183,61,716,44,1,1
189,52,480,16,1,0
297,46,1093,17,0,0
114,58,679,22,1,0
171,43,923,12,0,0
282,48,1019,12,0,0
102,41,881,5,0,0
138,50,811,12,1,0
150,37,538,8,0,0
138,47,386,3,1,0
261,37,1290,10,1,0
1914,66,2731,148,1,1
180,43,863,16,0,0
183,62,584,49,1,0
333,51,445,13,1,0
168,41,2580,32,0,0
147,52,911,27,0,0
237,40,881,6,1,0
108,48,646,9,1,0
135,48,680,13,1,0
348,59,1043,37,1,0
93,55,767,35,0,0
273,51,1756,25,1,0
672,48,1421,17,1,0
249,43,1363,5,0,0
318,54,2922,49,0,0
198,42,1179,23,1,0
210,57,563,32,1,1
351,65,574,23,2,0
477,52,2305,51,1,0
279,53,1548,29,0,0
129,53,255,1,1,0
243,46,1186,13,0,0
960,55,1801,43,1,0
153,58,757,47,1,0
69,61,466,33,0,0
1221,56,2333,118,3,1
177,44,1424,14,1,0
123,37,430,9,0,0
240,44,501,4,1,0
339,44,3607,32,0,0
174,53,1114,41,1,0
276,48,1498,31,1,0
141,42,1046,6,1,0
117,41,970,3,0,0
159,46,1144,24,0,0
246,52,549,7,0,0
603,49,1345,17,1,0
417,61,2017,105,1,0
981,48,2902,90,0,1
234,51,1295,28,1,0
312,48,743,7,0,0
405,57,2917,55,1,0
234,40,1414,17,1,0
225,53,1508,60,1,0
123,40,710,7,1,0
150,41,1210,5,0,0
369,48,1120,19,0,0
126,31,338,2,1,0
60,48,835,6,1,0
270,40,14107,140,0,0
201,52,683,8,0,0
147,46,507,10,0,0
396,44,1343,11,0,0
318,45,1763,31,0,0
75,58,1548,100,1,0
261,60,1632,48,1,1
186,42,1389,20,1,0
168,38,2857,7,0,0
168,38,2502,33,0,0
378,46,1794,13,0,0
177,36,1113,6,0,0
270,45,740,4,1,0
141,50,1660,70,0,0
246,47,1404,30,0,0
120,44,362,10,2,0
105,44,735,10,1,0
360,53,2040,40,1,0
405,59,1409,58,0,0
225,73,975,101,1,0
210,52,471,11,1,0
243,34,5864,32,1,0
213,39,3539,10,0,0
48,38,506,2,0,0
120,48,583,5,1,0
432,64,1297,54,2,0
147,43,795,2,1,0
84,48,478,14,1,0
714,60,849,39,1,1
180,40,546,1,1,0
282,40,1459,6,1,0
264,52,1595,45,1,0
228,49,1535,30,1,0
96,38,512,4,1,0
168,47,544,13,1,0
165,41,2034,17,1,0
294,52,2044,71,0,0
93,45,496,2,0,0
282,40,2234,36,0,0
396,33,5985,31,0,0
252,53,1432,25,0,0
168,59,826,31,1,0
1020,47,2841,74,0,1
147,54,836,23,1,0
162,51,1766,99,0,0
138,53,966,15,0,0
135,42,526,4,1,0
84,71,234,26,0,0
126,59,472,30,1,0
87,31,457,6,0,0
159,42,885,5,1,0
255,43,2804,35,0,0
144,44,620,5,1,0
141,43,498,11,1,0
1128,62,1578,101,1,1
108,42,411,2,1,0
234,48,1148,15,0,0
258,39,3443,39,0,0
174,59,836,58,1,0
141,42,677,9,0,0
123,38,436,1,1,0
180,52,575,10,0,0
177,38,1368,12,1,0
372,42,1288,16,1,0
129,58,607,34,0,0
159,47,713,3,1,0
513,67,903,81,1,1
195,44,418,3,0,0
102,44,735,7,1,0
231,46,982,25,0,0
129,38,485,3,1,0
318,49,1362,37,0,0
195,58,707,29,1,0
153,43,1430,12,0,0
468,49,1356,43,0,0
207,45,1300,4,1,0
351,52,762,11,1,0
441,61,4152,134,1,0
102,63,593,51,0,0
153,38,821,7,1,0
123,47,518,17,2,0
249,53,1112,18,1,0
186,48,625,13,2,0
258,42,2143,23,1,0
789,54,1394,29,1,0
201,46,3099,50,1,0
81,42,1747,32,0,0
363,55,693,20,1,0
513,61,886,56,1,1
591,58,1632,62,0,0
363,48,2045,53,1,0
150,50,700,9,0,0
240,56,1423,68,1,0
171,42,1137,8,1,0
198,50,456,5,1,0
105,41,684,7,2,0
168,49,599,20,1,0
522,61,1976,57,1,1
297,52,468,21,1,0
243,60,326,11,1,0
219,39,1262,8,0,0
159,40,629,2,0,0
168,46,426,5,1,0
144,50,1264,32,1,0
75,34,683,6,1,0
213,53,777,14,1,0
192,50,726,23,1,0
168,41,2362,32,0,0
210,58,449,14,1,0
276,57,817,42,0,0
159,39,607,8,1,0
204,53,460,22,1,0
174,58,546,32,1,0
168,48,388,3,1,0
189,47,830,12,1,0
189,43,456,2,1,0
375,51,669,8,1,0
153,38,997,5,1,0
153,49,869,14,0,0
225,50,848,15,1,0
60,47,439,2,1,0
237,52,2560,48,1,0
111,47,555,4,1,0
186,46,524,12,1,0
141,47,389,8,0,0
207,48,1426,9,1,0
318,42,1698,16,0,0
414,43,1309,16,0,0
282,42,2467,49,0,0
396,58,1056,60,1,0
183,37,1416,13,1,0
318,45,2329,61,0,0
279,47,1229,34,0,0
87,42,716,7,1,0
354,57,1629,55,1,0
123,46,1110,23,0,0
174,46,826,12,1,0
240,49,2240,36,1,0
492,41,3612,87,1,0
234,50,358,4,0,0
126,57,303,26,1,0
345,47,5777,73,0,0
99,43,597,2,0,0
195,41,1104,7,1,0
258,52,571,11,1,0
228,52,2523,48,1,0
219,52,1149,42,0,0
99,43,645,4,1,0
2370,66,2495,124,1,1
150,48,693,4,1,0
738,53,2292,92,1,0
168,62,580,29,1,0
237,43,1454,14,1,0
417,61,1676,81,1,0
57,52,522,20,1,0
168,39,805,7,1,0
360,62,1018,42,0,0
63,59,670,51,1,0
426,44,1589,13,1,0
159,55,1876,53,1,0
195,46,1438,20,1,0
204,52,2125,37,1,0
309,53,2694,70,0,0
204,36,3554,20,0,0
459,54,4176,142,0,1
579,40,6440,104,0,0
21,42,152,1,2,0
318,37,812,4,1,0
234,51,494,11,1,0
147,53,464,7,1,0
156,36,573,7,1,0
144,58,913,29,1,0
123,50,508,14,1,0
138,45,1471,40,0,0
195,46,736,6,0,0
480,45,2232,37,1,0
342,39,1034,2,1,0
276,51,1446,32,1,0
165,44,1357,14,1,0
543,57,670,23,2,1
159,46,1155,9,1,0
3027,68,3236,291,1,1
126,48,881,6,0,0
213,33,1166,8,1,0
150,42,817,4,1,0
258,49,1000,36,2,0
150,45,1325,17,1,0
